Source_ID,Region,Main,Segment,Type,Status,Length_km,Width_km,Dip_raw,Mmax,Trace_version,Polygon_method_version,Base_r_km,Dip_deg_parsed,Dip_dir_parsed,Hproj_km,Updip_extent_km,Downdip_extent_km,Rule_mode,Dip_class,Area_km2,Overlap_pair_n,Overlap_area_sum_km2,Overlap_area_sum_frac_of_polygon,Trace_covered,Polygon_valid,Polygon_locked
BAN53,Bali-NT-Banda-Maluku,Seram Strike Slip,North Kobi,SS,No Update,30.0,20.0,90,6.6,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,90.0,,0.0,5.0,5.0,VERTICAL_NEAR_VERTICAL_SYMMETRIC_R,VERTICAL_NEAR_VERTICAL,380.9551,2,66.1887,0.1737,True,True,True
BAN54,Bali-NT-Banda-Maluku,Seram Strike Slip,North Wahai,SS,No Update,100.0,20.0,90,7.4,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,90.0,,0.0,5.0,5.0,VERTICAL_NEAR_VERTICAL_SYMMETRIC_R,VERTICAL_NEAR_VERTICAL,1074.8718,2,102.2813,0.0952,True,True,True
BAN55,Bali-NT-Banda-Maluku,Seram Strike Slip,North Bula-2,SS,New,129.0,20.0,90,7.5,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,90.0,,0.0,5.0,5.0,VERTICAL_NEAR_VERTICAL_SYMMETRIC_R,VERTICAL_NEAR_VERTICAL,1473.2951,3,654.5105,0.4442,True,True,True
BAN56,Bali-NT-Banda-Maluku,Seram Strike Slip,North Bula-1,SS,New,112.0,20.0,90,7.4,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,90.0,,0.0,5.0,5.0,VERTICAL_NEAR_VERTICAL_SYMMETRIC_R,VERTICAL_NEAR_VERTICAL,1177.3285,2,574.4385,0.4879,True,True,True
BAN57,Bali-NT-Banda-Maluku,Gorong Fault,Gorong East,SS-LL,Data Updated,72.0,20.0,90,7.2,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,90.0,,0.0,5.0,5.0,VERTICAL_NEAR_VERTICAL_SYMMETRIC_R,VERTICAL_NEAR_VERTICAL,801.5226,1,149.8608,0.187,True,True,True
BAN58,Bali-NT-Banda-Maluku,Gorong Fault,Gorong West,SS-LL,Data Updated,92.0,20.0,90,7.3,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,90.0,,0.0,5.0,5.0,VERTICAL_NEAR_VERTICAL_SYMMETRIC_R,VERTICAL_NEAR_VERTICAL,987.7046,1,149.8608,0.1517,True,True,True
BAN59,Bali-NT-Banda-Maluku,Amahai,Amahai,N,New,16.0,20.0,60N,6.1,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,60.0,N,10.0,5.0,15.0,DIP_AWARE_R_PLUS_WCOSDIP,NONVERTICAL_KNOWN_DIRECTION,398.9299,0,0.0,0.0,True,True,True
BAN60,Bali-NT-Banda-Maluku,Bobot Fault,Bobot Fault,SS-LL,Data Updated,92.0,20.0,90,7.3,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,90.0,,0.0,5.0,5.0,VERTICAL_NEAR_VERTICAL_SYMMETRIC_R,VERTICAL_NEAR_VERTICAL,1006.268,0,0.0,0.0,True,True,True
BAN61,Bali-NT-Banda-Maluku,Kawa Fault,Mala-Alau,SS-LL,Data Updated,65.0,20.0,90,7.1,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,90.0,,0.0,5.0,5.0,VERTICAL_NEAR_VERTICAL_SYMMETRIC_R,VERTICAL_NEAR_VERTICAL,733.9823,1,78.4133,0.1068,True,True,True
BAN62,Bali-NT-Banda-Maluku,Kawa Fault,Teluti,SS-LL,Data Updated,74.0,20.0,90,7.2,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,90.0,,0.0,5.0,5.0,VERTICAL_NEAR_VERTICAL_SYMMETRIC_R,VERTICAL_NEAR_VERTICAL,824.8247,1,78.4133,0.0951,True,True,True
BAN63,Bali-NT-Banda-Maluku,Ambon,Ambon,N,New,33.0,20.0,60SE,6.5,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,60.0,SE,10.0,5.0,15.0,DIP_AWARE_R_PLUS_WCOSDIP,NONVERTICAL_KNOWN_DIRECTION,650.904,2,462.3268,0.7103,True,True,True
