dt,region,mb,ms,event_name,lat,lon,depth,mrr,mtt,mpp,mrt,mrp,mtp,m0_dynecm,mw,strike1,dip1,rake1,strike2,dip2,rake2,plunge_t,plunge_p,style
2004-01-01 20:59:31.900,"BALI REGION, INDONESIA",5.5,5.4,010104J,-8.45,115.83,35.61,1.69e+24,-2.19e+24,5.03e+23,2.53e+24,1.59e+24,5.52e+24,6.584223910226626e+24,5.812336394361573,87.28892928939287,74.42926376615664,28.036587329201545,349.15386211622393,63.07749905133636,162.47893537776125,30.66212622564466,7.490402613930725,strike-slip
2007-10-04 14:28:35.700,"SUMBAWA REGION, INDONESI",5.6,5.7,200710041428A,-8.4,116.82,21.59,2.73e+24,-2.95e+24,2.2e+23,-1.42e+24,-8.68e+23,-4.23e+23,3.3242522467466274e+24,5.614462647301687,95.5163817317072,32.36784089324546,111.72517768918318,250.26056851206675,60.176707322543514,76.79629079305899,71.6053805041112,14.216082410576593,thrust
2008-02-07 20:58:18.900,BALI SEA,5.8,5.7,200802072058A,-7.58,117.04,320.72,1.27e+24,1.79e+24,-3.06e+24,1.96e+24,2.17e+24,9.22e+23,4.0608969452572914e+24,5.672414645595509,132.42997433140428,41.794059863073976,18.638995224875377,28.314560234785024,77.70166877996076,130.2656573532112,42.67158397119386,22.12106543449935,strike-slip
2009-06-14 03:36:00.100,BALI SEA,5.6,5.5,200906140336A,-7.73,117.18,27.94,1.73e+24,-1.96e+24,2.28e+23,5.28e+23,5.47e+22,-4.29e+22,1.9305073167434511e+24,5.457114301310954,270.5671006132021,37.02617123091853,92.58793043265757,87.3267973005632,53.017892363622146,88.0494181365248,81.84876233211068,7.998954727035634,thrust
2009-09-18 23:06:57.700,"SOUTH OF BALI, INDONESIA",6.0,5.7,200909182306A,-9.42,115.56,70.1,4.3e+24,-1.29e+24,-3.01e+24,-1.71e+24,1.07e+23,-2.72e+24,4.994101420676196e+24,5.732304905198413,17.9383322660754,42.45930033198291,61.62025788656838,234.15272248535956,53.56328007444289,113.50535629115471,70.33021865449851,5.836947200888246,thrust
2017-03-21 23:10:25.100,"BALI REGION, INDONESIA",0.0,5.6,201703212310A,-8.75,115.27,130.22,3.5e+24,-1.96e+23,-3.3e+24,-1.46e+24,1.38e+24,-1.79e+24,4.339275054660628e+24,5.6916114531529445,228.0542406415254,45.65788548804095,127.54442911149692,0.33815252235064724,55.4550913021409,58.055071729863435,63.53314831567193,5.351163574009344,thrust
2018-07-28 22:47:38.700,"SUMBAWA REGION, INDONESI",0.0,6.4,201807282247A,-8.31,116.51,13.87,3.91e+25,-4.28e+25,3.65e+24,-4.64e+25,-5.63e+24,-2.79e+24,6.228504836636156e+25,6.462922537352236,89.85037071911505,20.72536883062805,95.62496350441478,263.83897444596437,69.37898551164871,87.8760474311616,65.55797966409688,24.350388083745937,thrust
2018-07-28 23:06:48.800,"SUMBAWA REGION, INDONESI",0.0,5.4,201807282306A,-8.11,116.32,20.9,1.02e+24,-1.23e+24,2.04e+23,-1.78e+24,-1.69e+24,4.59e+22,2.7063009459407873e+24,5.554917392893339,112.37269879211632,18.687544625880623,147.89324094661856,233.09924267759595,80.19497737130003,74.01254169240215,52.2084551154507,33.326594330471465,thrust
2018-08-05 11:46:38.600,"SUMBAWA REGION, INDONESI",0.0,6.9,201808051146A,-8.33,116.24,17.76,2.05e+26,-2.14e+26,8.85e+24,-2.42e+26,-4.07e+25,-3.86e+24,3.227770915817912e+26,6.939268469343839,95.996175711892,20.682448687854006,102.71420257856275,262.4374747967371,69.84700783588802,85.25035839144068,64.84396627387342,24.703160834089797,thrust
2018-08-09 05:25:32.400,"SUMBAWA REGION, INDONESI",0.0,5.9,201808090525A,-8.38,116.2,21.86,6.78e+24,-7.03e+24,2.51e+23,-5.77e+24,-8.06e+23,-1.07e+24,9.100197058305935e+24,5.906033864507707,81.63601468391454,25.078913102998477,89.69923705827722,261.96808278822743,64.92145632242213,90.14075176998702,70.07821872378491,19.921338552258835,thrust
2018-08-19 14:56:27.500,"SUMBAWA REGION, INDONESI",0.0,6.9,201808191456A,-8.4,116.75,23.53,2.25e+26,-2.5e+26,2.43e+25,-2.02e+26,-3.07e+25,3.69e+23,3.1401332959127706e+26,6.931298722590353,264.06124261053657,65.44073120133056,84.50636115283672,97.09006516665174,25.128972610408677,101.83218751266611,69.08000502858697,20.260210003829105,thrust
2018-08-25 18:33:15.600,"SUMBAWA REGION, INDONESI",0.0,5.5,201808251833A,-8.48,116.99,12.0,1.98e+24,-1.67e+23,-1.82e+24,-1.05e+24,-1.12e+24,-8.09e+23,2.577154535529447e+24,5.5407603074689264,9.074354237507382,28.892645610667074,67.15881883099398,214.76610858348772,63.558621748796675,102.0912011974886,69.05958983630782,17.711777955771026,thrust
2018-12-06 01:02:46.300,"SUMBAWA REGION, INDONESI",0.0,5.5,201812060102A,-8.36,116.01,23.2,1.46e+24,-1.75e+24,2.84e+23,-1.33e+24,-6.22e+23,-3.51e+22,2.1896104699238175e+24,5.493577907363911,107.88746249250195,27.61642152919897,122.51050698750186,252.160960976309,66.98896341994806,74.29558512638341,64.55000171369836,20.495428025392503,thrust
2019-03-17 07:07:25.400,"SUMBAWA REGION, INDONESI",0.0,5.6,201903170707A,-8.47,116.54,14.41,-1.68e+24,1.85e+24,-1.63e+23,-1.34e+24,-1.99e+23,-1.46e+23,2.2343346884475478e+24,5.499432152047897,86.08852212984189,63.850039333267425,-97.72838699327939,283.2034889893798,27.190763859400505,-74.68250685023033,18.501342969879484,70.15290191893882,normal
2022-08-22 08:36:32.700,"BALI REGION, INDONESIA",0.0,5.4,202208220836A,-9.21,115.57,133.77,5.03e+23,-6.93e+23,1.9e+23,2.26e+24,-3.12e+23,-6.98e+23,2.465122106509128e+24,5.527892290892862,204.563621629224,19.450198962054866,19.485676788503767,96.11264299283943,83.62271136557807,108.41334948302809,48.184442599950124,36.03017277104249,strike-slip
