no,lat,lon,depth,mw,dt,east_km,north_km,log_eta,triggered
8210,-8.33,116.48,10,4.2632,2018-07-30 16:59:26,442.74268902430174,9079.182200662211,-4.126745862318061,True
8293,-8.25,116.68,10,4.42724,2018-08-01 10:04:01,464.7578993549713,9088.049971500866,-2.454001802662014,True
8296,-8.26,116.67,10,4.15384,2018-08-01 10:12:20,463.65748638122136,9086.943528076907,-4.9464576035570635,True
8297,-8.24,116.68,10,4.48192,2018-08-01 10:44:02,464.75701387929786,9089.155516899948,-4.501390221688005,True
8341,-8.26,116.69,10,4.09916,2018-08-02 11:17:00,465.86008437782374,9086.945295413308,-2.686572754837968,True
8351,-8.26,116.48,10,4.15384,2018-08-02 15:49:24,442.73255563236785,9086.921228775267,-3.312108850119597,True
8353,-8.48,116.85,10,4.09916,2018-08-02 16:31:30,483.490014362922,9062.633591874137,-1.906133434548677,False
8361,-8.29,116.63,11,4.8776,2018-08-02 19:07:21,459.2553599296527,9083.623004048532,-2.561781888478123,True
8362,-8.25,116.64,10,4.42724,2018-08-02 19:17:43,460.3525839240889,9088.046220319187,-4.585169091078335,True
8394,-8.28,116.64,10,4.79814,2018-08-04 05:44:54,460.35557962675034,9084.729567566164,-3.0299947149718824,True
8395,-8.28,116.64,10,4.09916,2018-08-04 07:00:10,460.35557962675034,9084.729567566164,-5.178639553951159,True
8420,-8.37,116.48,15,6.79469,2018-08-05 11:46:35,442.7485176728523,9074.759886775691,-3.494405035358934,True
8421,-8.29,116.01,10,4.8776,2018-08-05 12:03:23,390.97605420359815,9083.506156361125,-4.7293154414008445,True
8422,-8.31,116.16,24,4.5366,2018-08-05 12:07:05,407.50075812509016,9081.33290546334,-4.9078796089951195,True
8423,-8.37,116.01,10,4.64596,2018-08-05 12:08:41,390.99819903293405,9074.660615214823,-4.620436232575676,True
8425,-8.11,116.15,10,4.79814,2018-08-05 12:18:03,406.3526494407588,9103.443444626724,-4.541929300968036,True
8426,-8.16,116.23,11,4.5366,2018-08-05 12:21:36,415.17757078455674,9097.932929009003,-4.670498865578476,True
8427,-8.11,116.15,10,4.4,2018-08-05 12:24:07,406.3526494407588,9103.443444626724,-6.272292103517593,True
8428,-8.34,116.38,12,4.48192,2018-08-05 12:25:02,431.73302091991275,9078.060733623892,-5.424702549133661,True
8429,-8.15,116.46,10,4.59128,2018-08-05 12:27:12,440.5135416474252,9099.079615291714,-4.873362698646131,True
8430,-8.3,116.04,29,4.20852,2018-08-05 12:33:30,394.28278610743223,9082.408582629068,-4.330403196066108,True
8431,-8.26,116.04,10,4.64596,2018-08-05 12:35:18,394.2721133986749,9086.831304418247,-4.651407197814814,True
8433,-8.26,116.21,10,4.95706,2018-08-05 12:42:31,412.99602843766417,9086.872388081589,-4.547826645057839,True
8434,-8.17,116.05,20,4.09916,2018-08-05 12:46:21,395.34996548244436,9096.785006950195,-4.180654376707313,True
8435,-8.21,116.16,10,4.04448,2018-08-05 12:48:07,407.477468860945,9092.389348124361,-4.565848600393269,True
8436,-8.41,116.16,17,5.35436,2018-08-05 12:49:53,407.5243274655434,9070.276408565163,-4.425074167340866,True
8437,-8.22,116.22,15,4.31788,2018-08-05 12:58:04,414.08878134465215,9091.297065645742,-4.493960766871346,True
8438,-8.21,116.47,10,4.8776,2018-08-05 13:07:35,441.62390425572823,9092.447648295414,-4.796340636706118,True
8439,-8.28,116.2,11,4.79814,2018-08-05 13:12:13,411.8990850054028,9084.658924144736,-4.639138423250921,True
8440,-8.34,116.3,10,4.09916,2018-08-05 13:24:36,422.9239799360543,9078.046014621928,-4.630700514977945,True
8441,-8.22,116.27,10,4.04448,2018-08-05 13:30:21,419.59620835099565,9091.307442294139,-4.362728639368254,True
8442,-8.33,116.0,10,4.04448,2018-08-05 13:32:07,389.8858525002561,9079.080619197046,-3.924317791235143,True
8444,-8.36,116.13,11,4.31788,2018-08-05 13:45:21,404.20914250347266,9075.797496220925,-4.126806147045595,True
8446,-8.12,116.28,10,4.09916,2018-08-05 13:51:18,420.6779413351721,9102.365524967137,-4.131040284309286,True
8447,-8.22,116.48,10,4.15384,2018-08-05 13:56:24,442.7268032661342,9091.3435185173,-4.658917172945302,True
8448,-8.17,116.07,21,4.5366,2018-08-05 14:00:29,397.5533130501284,9096.790144483497,-3.857201744302942,True
8449,-8.09,116.43,10,4.48192,2018-08-05 14:10:40,437.1993143467336,9105.708525651262,-4.147991579712865,True
8450,-8.16,116.21,10,4.04448,2018-08-05 14:13:53,412.9742576101073,9097.928671319822,-4.01449536813484,True
8452,-8.2,116.28,10,4.59128,2018-08-05 14:24:39,420.69371827836994,9093.520657401528,-4.16754216806294,True
8453,-8.37,116.0,10,4.20852,2018-08-05 14:26:50,389.8970634877574,9074.65783138433,-4.204376674275532,True
8454,-8.18,116.19,10,4.20852,2018-08-05 14:35:12,410.7753770113161,9095.713041658388,-3.9469924759493824,True
8455,-8.19,116.51,10,4.64596,2018-08-05 14:42:16,446.0270581335896,9094.66437940237,-4.370252904159228,True
8456,-8.38,116.11,10,4.2,2018-08-05 14:45:36,402.01188546238956,9073.58124948462,-3.8779185723564016,True
8457,-8.11,116.41,10,4.42724,2018-08-05 14:51:41,434.998915815681,9103.494231295155,-4.07754993226197,True
