no,lat,lon,depth,mw,dt,east_km,north_km,t_days,g
8448,-8.17,116.07,21,4.5366,2018-08-05 14:00:29,397.5533130501284,9096.790144483497,3140.284571759259,0
8449,-8.09,116.43,10,4.48192,2018-08-05 14:10:40,437.1993143467336,9105.708525651262,3140.2916435185184,0
8450,-8.16,116.21,10,4.04448,2018-08-05 14:13:53,412.9742576101073,9097.928671319822,3140.293877314815,0
8451,-8.2,116.5,10,3.7,2018-08-05 14:19:16,444.92691805687906,9093.557457026196,3140.2976157407406,0
8452,-8.2,116.28,10,4.59128,2018-08-05 14:24:39,420.69371827836994,9093.520657401528,3140.3013541666664,0
8453,-8.37,116.0,10,4.20852,2018-08-05 14:26:50,389.8970634877574,9074.65783138433,3140.3028703703703,0
8454,-8.18,116.19,10,4.20852,2018-08-05 14:35:12,410.7753770113161,9095.713041658388,3140.3086805555554,0
8455,-8.19,116.51,10,4.64596,2018-08-05 14:42:16,446.0270581335896,9094.66437940237,3140.313587962963,0
8456,-8.38,116.11,10,4.2,2018-08-05 14:45:36,402.01188546238956,9073.58124948462,3140.315902777778,0
8457,-8.11,116.41,10,4.42724,2018-08-05 14:51:41,434.998915815681,9103.494231295155,3140.3201273148147,0
8458,-8.25,116.19,10,4.5366,2018-08-05 14:53:01,410.79101198367243,9087.97360509298,3140.3210532407406,0
8459,-8.16,116.22,10,3.88044,2018-08-05 14:59:45,414.0759154619131,9097.930813815015,3140.325729166667,0
8460,-8.17,116.01,10,4.64596,2018-08-05 15:11:29,390.94323312501103,9096.774403802827,3140.333877314815,0
8461,-8.3,116.49,10,4.20852,2018-08-05 15:16:39,443.8395499253926,9082.500359195798,3140.337465277778,0
8463,-8.22,116.17,10,4.20852,2018-08-05 15:20:43,408.58129115761653,9091.286001585819,3140.340289351852,0
8464,-8.7,116.42,10,4.09916,2018-08-05 15:21:43,436.1971868425813,9038.265871281897,3140.3409837962963,1
8465,-8.26,116.47,10,4.59128,2018-08-05 15:26:52,441.631228592566,9086.919778944233,3140.3445601851854,0
8466,-8.43,116.38,10,3.82576,2018-08-05 15:30:21,431.7487229394379,9068.110343389832,3140.3469791666666,0
8468,-8.21,116.23,10,4.20852,2018-08-05 15:34:02,415.1881484363941,9092.404819483336,3140.349537037037,0
8469,-8.25,116.22,11,3.77108,2018-08-05 15:37:09,414.0952494031652,9087.980184302964,3140.351701388889,0
8470,-8.23,116.5,10,4.15384,2018-08-05 15:45:04,444.9310538722238,9090.2407537546,3140.3571990740743,0
8471,-8.24,116.03,10,4.09916,2018-08-05 15:46:55,393.1653076461135,9089.040003006845,3140.3584837962962,0
8472,-8.37,116.4,10,4.04448,2018-08-05 15:49:04,433.9403075989696,9074.747354661555,3140.359976851852,0
8473,-8.23,116.02,13,3.88044,2018-08-05 15:59:18,392.0611068134483,9090.14300069475,3140.3670833333335,0
8474,-8.13,116.49,10,3.88044,2018-08-05 16:02:43,443.8156448601964,9101.295039115119,3140.3694560185186,0
8475,-8.19,116.21,10,3.9898,2018-08-05 16:12:57,412.9807611943292,9094.611791986368,3140.3765625,0
8476,-8.1,116.25,10,4.15384,2018-08-05 16:29:56,417.3685931269422,9104.570761600015,3140.3883564814814,0
8477,-8.32,116.22,10,3.82576,2018-08-05 16:33:33,414.11043257258416,9080.240775566821,3140.3908680555555,0
8478,-8.24,116.2,10,4.09916,2018-08-05 16:40:13,411.8902130497012,9089.08145854832,3140.395497685185,0
8479,-8.32,116.27,10,4.95706,2018-08-05 16:49:41,419.61647129643353,9080.25127492137,3140.4020717592593,0
8480,-8.75,116.08,11,3.93512,2018-08-05 16:57:02,398.8064871915405,9032.663342324802,3140.407175925926,1
8481,-8.1,116.27,10,4.04448,2018-08-05 16:57:48,419.5722141649589,9104.574771979003,3140.407708333333,0
8482,-8.46,116.17,10,3.77108,2018-08-05 17:04:33,408.63705107661985,9064.75049997831,3140.4123958333334,1
8484,-8.36,116.57,10,4.2632,2018-08-05 17:09:56,452.65641911665034,9075.877410590912,3140.4161342592593,2
8485,-8.3,116.41,10,4.2632,2018-08-05 17:11:08,435.02978750661896,9082.488150945139,3140.4169675925928,0
8486,-8.27,116.18,15,3.82576,2018-08-05 17:22:58,409.6941412210822,9085.760079099324,3140.425185185185,0
8487,-8.17,116.15,25,4.09916,2018-08-05 17:24:45,406.36658530210093,9096.80960108554,3140.426423611111,0
8488,-8.23,116.19,10,3.82576,2018-08-05 17:28:45,410.7865313422868,9090.184875370505,3140.429201388889,0
8489,-8.05,116.48,10,4.31788,2018-08-05 17:30:40,442.70266526019833,9110.138153331025,3140.4305324074076,0
8490,-8.26,116.05,10,4.59128,2018-08-05 17:42:35,395.37354348308673,9086.833942150473,3140.4388078703705,0
8491,-8.3,116.41,10,3.9898,2018-08-05 17:48:02,435.02978750661896,9082.488150945139,3140.4425925925925,0
8492,-8.23,116.61,10,4.09916,2018-08-05 17:59:41,457.0464281496245,9090.254223708731,3140.45068287037,2
8494,-8.21,116.19,10,3.7164,2018-08-05 18:23:44,410.78206150578603,9092.39614349556,3140.4673842592592,0
8495,-8.16,116.08,10,4.04448,2018-08-05 18:28:33,398.6524606245655,9097.898334320433,3140.470729166667,0
8496,-8.16,116.51,10,4.31788,2018-08-05 18:36:03,446.02302465315887,9097.981071330965,3140.4759375,0
8497,-8.14,116.25,10,4.42724,2018-08-05 18:41:13,417.37677035045766,9100.148307663801,3140.479525462963,0
8498,-8.39,116.19,12,4.5,2018-08-05 18:47:18,410.8226789667589,9072.49465245366,3140.48375,0
8499,-8.26,116.18,10,3.93512,2018-08-05 18:55:23,409.6918663967538,9086.865718236233,3140.489363425926,0
8500,-8.13,116.2,10,4.20852,2018-08-05 18:57:12,411.8660352771256,9101.24338381129,3140.490625,0
8501,-8.49,116.17,17,4.09916,2018-08-05 19:20:03,408.644133124914,9061.433540094284,3140.5064930555554,1
8502,-8.09,116.27,10,4.15384,2018-08-05 19:43:50,419.57023047630247,9105.680379313706,3140.523009259259,0
8503,-8.23,116.25,10,4.31788,2018-08-05 19:44:55,417.39531544164413,9090.197755009845,3140.523761574074,0
8504,-8.13,116.42,10,3.82576,2018-08-05 20:05:42,436.1038274800537,9101.284664938565,3140.5381944444443,0
8505,-8.19,116.21,13,3.93512,2018-08-05 20:18:37,412.9807611943292,9094.611791986368,3140.5471643518517,0
8506,-8.16,116.37,17,3.82576,2018-08-05 20:24:24,430.60049790216107,9097.959675269083,3140.5511805555557,0
8507,-8.25,116.2,15,3.93512,2018-08-05 20:27:09,411.892427037087,9087.975825757552,3140.5530902777778,0
8508,-8.28,116.19,15,3.9898,2018-08-05 20:32:55,410.79775320378354,9084.656695629668,3140.557094907407,0
8509,-8.28,116.22,10,4.42724,2018-08-05 20:35:13,414.10174087088103,9084.663298098485,3140.5586921296294,0
8510,-8.14,116.22,10,4.31788,2018-08-05 20:37:10,414.07164764629886,9100.14205892235,3140.560046296296,0
8511,-8.24,116.26,10,4.79814,2018-08-05 20:41:26,418.4988161885247,9089.094188037478,3140.563009259259,0
8512,-8.19,116.22,22,4.20852,2018-08-05 20:49:06,414.082336697013,9094.613942144024,3140.568333333333,0
8513,-8.51,116.01,10,3.82576,2018-08-05 21:10:12,391.0374607576652,9059.180834620944,3140.582986111111,1
8514,-8.19,116.22,11,4.42724,2018-08-05 21:17:40,414.082336697013,9094.613942144024,3140.5881712962964,0
8519,-7.99,116.02,46,4.20852,2018-08-05 22:24:44,391.99706948950603,9116.679266544466,3140.63474537037,0
8520,-8.24,116.06,11,4.31788,2018-08-05 22:28:09,396.46976416811964,9089.047897573231,3140.6371180555557,0
8521,-8.29,116.02,19,4.2632,2018-08-05 22:44:03,392.0774103403704,9083.508886599351,3140.6481597222223,0
8522,-8.4,116.21,10,3.93512,2018-08-05 23:23:27,413.02695014708195,9071.393500591039,3140.6755208333334,0
8523,-8.69,116.1,10,3.88044,2018-08-05 23:34:12,400.99072188508603,9039.302778036981,3140.682986111111,1
8524,-8.18,116.12,24,4.2,2018-08-05 23:46:40,403.06404469248014,9095.69685899407,3140.6916435185185,0
8525,-8.04,116.28,11,4.15384,2018-08-06 00:00:48,420.6623180963145,9111.210358396153,3140.7014583333334,0
8526,-8.36,116.27,20,5.11598,2018-08-06 00:28:20,419.6246446253586,9075.828792722248,3140.7205787037037,0
8527,-8.12,116.3,10,3.8,2018-08-06 00:31:54,422.88143933564527,9102.369381967575,3140.7230555555557,0
8528,-8.29,116.25,12,4.31788,2018-08-06 00:34:59,417.4077913868051,9083.564028983637,3140.7251967592592,0
8529,-8.19,116.27,12,4.09916,2018-08-06 00:52:54,419.590176935923,9094.624281955965,3140.737638888889,0
8530,-8.47,116.41,10,3.93512,2018-08-06 00:55:12,435.0580114825158,9063.693069466779,3140.739236111111,1
8531,-8.25,116.28,10,3.7164,2018-08-06 01:00:00,420.70365690798747,9087.992597692564,3140.7425694444446,0
8532,-8.17,116.06,19,3.77108,2018-08-06 01:17:32,396.4516407901747,9096.787589386551,3140.7547453703705,0
8534,-8.22,116.3,10,4.5366,2018-08-06 01:53:45,422.90063591333814,9091.313338341983,3140.7798958333333,0
8535,-8.3,116.21,10,3.93512,2018-08-06 02:03:32,413.0048105330432,9082.4498596862,3140.786689814815,0
8536,-8.04,116.27,10,4.09916,2018-08-06 02:21:29,419.56034856164837,9111.208408031589,3140.7991550925926,0
8537,-8.39,116.17,10,3.7164,2018-08-06 02:26:19,408.62062312456464,9072.490053744621,3140.8025115740743,0
8538,-8.23,116.3,15,4.2632,2018-08-06 02:34:31,422.902568410955,9090.207731018598,3140.8082060185184,0
8539,-8.16,116.32,10,3.88044,2018-08-06 02:37:42,425.0923602276079,9097.950737251844,3140.8104166666667,0
8540,-8.24,116.2,12,3.77108,2018-08-06 02:45:47,411.8902130497012,9089.08145854832,3140.8160300925924,0
8541,-8.22,116.01,18,4.15384,2018-08-06 03:15:22,390.9568507933963,9091.245976687533,3140.836574074074,0
8543,-8.08,116.24,10,4.42724,2018-08-06 03:33:47,416.26265104234966,9106.779944447853,3140.8493634259257,0
8544,-8.19,116.19,10,3.77108,2018-08-06 03:38:42,410.77760247468314,9094.60740947323,3140.8527777777776,0
8545,-8.25,116.7,10,4.2632,2018-08-06 03:48:45,466.9605507231401,9088.051681589912,3140.8597569444446,2
8546,-8.33,116.01,14,3.9898,2018-08-06 04:03:05,390.98710021061544,9079.083390100013,3140.869710648148,0
8547,-8.21,116.5,10,4.09916,2018-08-06 04:21:07,444.92829499466865,9092.45188981282,3140.882233796296,0
8548,-8.6,116.11,10,3.77108,2018-08-06 04:25:26,402.06767411606376,9049.256490295267,3140.8852314814817,1
8549,-8.73,116.11,16,3.77108,2018-08-06 04:31:53,402.10131482451425,9034.882642159148,3140.889710648148,1
8550,-8.42,116.17,10,3.9898,2018-08-06 04:43:31,408.6276470755349,9069.173105429567,3140.8977893518518,0
8551,-8.63,116.14,20,3.77108,2018-08-06 05:20:56,405.3764648282726,9045.947022043229,3140.923773148148,1
8553,-8.35,116.39,10,3.88044,2018-08-06 05:38:33,432.83585006800587,9076.956853317672,3140.9360069444447,0
8555,-8.17,116.26,10,3.77108,2018-08-06 05:55:28,418.48455004985584,9096.83349732404,3140.94775462963,0
8557,-8.37,116.11,15,3.7164,2018-08-06 07:09:14,402.00938372957984,9074.686914034512,3140.9989814814817,0
