Platebound,Stepclass,Lon1,Lat1,Lon2,Lat2,Vel_mm_per_yr,Vel_azimuth_deg,Vel_divergent_mm_per_yr,Vel_rightlateral_mm_per_yr,Step_azimuth_deg,Steplength_km
EU-SU,CCB,98.3,14.434,99.21,14.446,26.4,239.0,-13.4,-22.7,89.0,98.0
EU-SU,CTF,99.21,14.446,99.766,14.838,26.3,239.0,2.5,-26.2,54.0,74.0
EU-SU,CRB,99.766,14.838,100.297,15.462,26.4,240.0,9.2,-24.7,39.0,89.7
EU-SU,CRB,100.297,15.462,100.832,16.084,26.5,241.0,9.5,-24.7,40.0,89.8
EU-SU,CRB,100.832,16.084,101.141,16.575,26.6,241.0,13.3,-23.0,31.0,63.8
EU-SU,CRB,101.141,16.575,101.451,17.066,26.6,242.0,13.5,-23.0,31.0,63.8
EU-SU,CTF,101.451,17.066,102.032,17.35,26.7,242.0,-0.4,-26.7,63.0,69.3
EU-SU,CTF,102.032,17.35,102.615,17.633,26.7,243.0,-0.2,-26.7,63.0,69.3
EU-SU,CCB,102.615,17.633,103.18,17.66,26.6,243.0,-10.8,-24.3,87.0,59.9
EU-SU,CCB,103.18,17.66,103.746,17.685,26.6,244.0,-10.7,-24.3,87.0,60.0
EU-SU,CCB,103.746,17.685,104.312,17.708,26.5,244.0,-10.5,-24.3,87.0,60.0
EU-SU,CCB,104.312,17.708,104.878,17.73,26.4,245.0,-10.3,-24.3,88.0,60.0
EU-SU,CCB,104.878,17.73,105.817,17.75,26.4,245.0,-10.5,-24.2,89.0,99.5
EU-SU,CCB,105.817,17.75,106.756,17.766,26.3,246.0,-10.2,-24.2,89.0,99.5
EU-SU,CCB,106.756,17.766,107.695,17.777,26.1,247.0,-9.9,-24.2,89.0,99.4
EU-SU,CCB,107.695,17.777,108.634,17.784,26.0,248.0,-9.6,-24.2,90.0,99.4
EU-SU,CCB,108.634,17.784,109.573,17.785,25.9,249.0,-9.3,-24.2,90.0,99.4
EU-SU,CCB,109.573,17.785,110.512,17.783,25.8,250.0,-9.1,-24.2,90.0,99.4
EU-SU,CTF,110.512,17.783,111.04,17.87,25.8,250.0,-4.4,-25.4,80.0,56.7
EU-SU,CTF,111.04,17.87,111.569,17.955,25.7,251.0,-4.3,-25.4,80.0,56.8
EU-SU,OTF,111.569,17.955,112.098,18.038,25.7,251.0,-4.1,-25.4,81.0,56.7
EU-SU,OTF,112.098,18.038,112.628,18.121,25.7,252.0,-3.9,-25.4,81.0,56.8
EU-SU,OTF,112.628,18.121,113.313,18.28,25.7,253.0,-1.6,-25.6,76.0,74.5
EU-SU,OTF,113.313,18.28,114.0,18.438,25.7,253.0,-1.4,-25.6,76.0,74.6
YA-SU,OTF,114.0,18.438,114.419,18.826,15.1,215.0,-2.7,-14.9,46.0,61.8
YA-SU,CTF,114.419,18.826,114.926,19.34,15.1,217.0,-1.5,-15.0,43.0,78.2
YA-SU,CTF,114.926,19.34,115.494,19.687,15.0,219.0,-4.7,-14.2,57.0,70.9
YA-SU,CCB,115.494,19.687,116.319,19.815,14.8,220.0,-9.5,-11.3,81.0,87.5
YA-SU,CCB,116.319,19.815,117.145,19.94,14.5,222.0,-9.1,-11.3,81.0,87.5
BU-EU,CCB,96.48,14.4,96.454,14.909,49.6,31.0,-27.3,41.4,357.0,56.7
BU-EU,CCB,96.454,14.909,96.406,15.135,50.6,32.0,-34.8,36.7,349.0,25.7
IN-EU,CTF,96.406,15.135,96.419,15.396,53.9,21.0,-17.3,51.1,3.0,29.0
IN-EU,CTF,96.419,15.396,96.447,16.003,53.9,21.0,-17.4,51.0,3.0,67.6
IN-EU,CTF,96.447,16.003,96.47,16.644,53.8,21.0,-17.7,50.8,2.0,71.2
IN-EU,CCB,96.47,16.644,96.466,17.435,53.8,21.0,-19.5,50.1,0.0,88.0
IN-EU,CCB,96.466,17.435,96.421,17.982,53.7,21.0,-23.0,48.5,355.0,61.0
IN-EU,CCB,96.421,17.982,96.341,18.705,53.6,21.0,-23.9,47.9,354.0,80.9
IN-EU,CCB,96.341,18.705,96.225,19.412,53.5,20.0,-26.1,46.7,351.0,79.6
IN-EU,CCB,96.225,19.412,96.016,20.04,53.4,20.0,-32.5,42.3,343.0,73.2
BU/IN,SUB,92.278,6.948,92.376,6.333,33.0,289.0,-29.1,-15.6,171.0,69.2
BU/IN,SUB,92.376,6.333,92.537,5.702,35.5,287.0,-30.4,-18.4,166.0,72.4
BU/IN,SUB,92.537,5.702,92.665,5.005,38.2,285.0,-34.6,-16.2,170.0,78.8
BU/IN,SUB,92.665,5.005,92.903,4.384,40.9,283.0,-34.2,-22.5,159.0,73.9
BU/IN,SUB,92.903,4.384,93.227,3.716,43.5,280.0,-35.3,-25.5,154.0,82.6
BU/IN,SUB,93.227,3.716,93.754,3.048,46.2,277.0,-32.5,-32.9,142.0,94.5
BU/IN,SUB,93.754,3.048,94.405,2.457,48.8,274.0,-30.4,-38.1,132.0,97.8
BU/IN,SUB,94.405,2.457,94.979,2.104,50.8,270.0,-26.2,-43.5,122.0,74.9
BU/AU,SUB,94.979,2.104,95.542,1.882,49.3,255.0,-29.2,-39.8,112.0,67.2
BU/AU,SUB,95.542,1.882,96.089,1.487,51.6,253.0,-41.2,-31.0,126.0,74.9
