Source_ID,Region,Main,Segment,Type,Dip_raw,Length_km,Width_km,Mmax,Sliprate,Status,N_vertex,Coords_lonlat
BAN66,Bali-NT-Banda-Maluku,South Buru Fault,South Buru Fault - 1,R,45N,152.0,20.0,7.6,0.5,Data Updated,5,"126.89241,-4.13043 127.22862,-4.13043 127.56484,-4.13043 127.90105,-4.13043 128.23727,-4.15459"
BAN67,Bali-NT-Banda-Maluku,South Buru Fault,South Buru Fault - 2,R,45N,91.0,20.0,7.3,0.5,Data Updated,4,"128.38136,-4.15459 128.64553,-4.17874 128.93371,-4.20290 129.17387,-4.27536"
BAN68,Bali-NT-Banda-Maluku,Manipa Fault,Manipa Fault,SS,90,100.0,20.0,7.4,0.5,No Update,6,"127.30218,-4.03700 127.30440,-3.79034 127.33299,-3.56053 127.34302,-3.42262 127.33996,-3.22368 127.33551,-3.13479"
JAV01,Java,Cimandiri,Citatah,R,45W,16.0,20.0,6.3,0.1,Data Updated,5,"107.35009,-6.85872 107.38571,-6.85183 107.42094,-6.84349 107.45562,-6.83311 107.48991,-6.82127"
JAV02,Java,Cimandiri,Cisokan,R,45S,35.0,20.0,6.8,0.1,New,5,"107.09027,-6.99075 107.15661,-6.94747 107.22208,-6.90296 107.28632,-6.85671 107.34968,-6.80922"
JAV03,Java,Cimandiri,Cimandiri,R,45S,25.0,20.0,6.6,2,Data Updated,5,"106.52693,-7.04393 106.58355,-7.04452 106.64013,-7.04361 106.69662,-7.04058 106.75307,-7.03604"
JAV04,Java,Cimandiri,Nyalindung-Cibeber,R,45S,32.0,20.0,6.5,0.5,Data Updated,5,"106.77226,-7.08969 106.84192,-7.06978 106.91112,-7.04844 106.97965,-7.02507 107.04772,-7.00027"
JAV05,Java,Lembang Fault,Lembang,SS-LL,90,30.0,25.0,6.6,3.45,Data Updated,5,"107.48438,-6.82471 107.55228,-6.82492 107.62013,-6.82361 107.68790,-6.82018 107.75562,-6.81525"
JAV06,Java,Cileunyi-Tanjungsari Fault,Cileunyi-Tanjungsari,SS,90,35.0,25.0,6.5,0.4,New,5,"107.65284,-6.98910 107.72271,-6.95177 107.79181,-6.91313 107.85984,-6.87265 107.92711,-6.83086"
JAV07,Java,Cicalengka Fault,Cicalengka,SS,90,34.0,25.0,6.5,0.1,New,5,"107.73394,-7.09815 107.79845,-7.05618 107.86208,-7.01296 107.92448,-6.96801 107.98601,-6.92181"
JAV08,Java,Cianjur Fault,Cianjur 1,SS,90,9.0,30.0,5.6,0.1,New,5,"107.05280,-6.81688 107.06372,-6.79952 107.07328,-6.78153 107.08092,-6.76264 107.08720,-6.74312"
JAV09,Java,Cianjur Fault,Cianjur 2,SS,90,5.0,30.0,5.6,0.1,New,5,"107.08938,-6.88996 107.09695,-6.88118 107.10320,-6.87170 107.10757,-6.86122 107.11062,-6.85004"
JAV10,Java,Cipamingkis Fault,Cipamingkis,SS,90,28.0,25.0,6.1,0.1,New,5,"107.15667,-6.98104 107.17593,-7.04139 107.19660,-7.10124 107.21927,-7.16035 107.24336,-7.21896"
JAV11,Java,Garsela Fault,Kendang,SS-LL,90,21.0,30.0,6.3,0.1,Data Updated,5,"107.56639,-7.19055 107.60010,-7.15699 107.63269,-7.12242 107.66370,-7.08643 107.69359,-7.04944"
JAV12,Java,Garsela Fault,Kencana,SS-LL,90,18.0,30.0,5.8,0.1,No Update,5,"107.64239,-7.10754 107.67301,-7.08058 107.70256,-7.05256 107.73061,-7.02304 107.75759,-6.99245"
